originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isAdult,numRegions,userReviewsTotal,ratingCount,countryOfOrigin,is_Documentary,is_History,is_Adventure,is_Thriller,is_Game-Show,is_Comedy,is_Sci-Fi,is_Romance,is_Biography,is_Musical,is_Western,is_Music,is_Film-Noir,is_Adult,is_Reality-TV,is_News,is_Action,is_Crime,is_Short,is_Fantasy,is_Family,is_Mystery,is_Talk-Show,is_Drama,is_Sport,is_War,is_Horror,is_Animation,fill_runtimeMinutes
Neogenic Nightmare Chapter 3: Hydro-Man,8,7.59890045687141,,,0.0,6.659293919683638,0.6931471805599453,0.0,3.091042453358316,0.6931471805599453,tvEpisode,0.0,False,0,0.6931471805599453,0.0,781,['US'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.713572066704308
Looping,6,7.592366128519796,,,0.0,2.4849066497880004,0.6931471805599453,0.0,0.6931471805599453,0.0,videoGame,0.0,False,0,0.6931471805599453,0.0,11,['XWG'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.367295829986474
Idealnaya para,6,7.597396320212795,,,0.0,3.6635616461296463,0.6931471805599453,0.0,3.2188758248682006,0.0,movie,0.0,False,0,0.6931471805599453,0.6931471805599453,38,['RU'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51085950651685
MasterChef Celebrity México,6,7.611842399580417,,,0.0,2.772588722239781,3.1354942159291497,0.0,4.04305126783455,0.0,tvSeries,0.0,True,0,0.6931471805599453,0.0,15,['MX'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4657359027997265
Seutateueob,8,7.611347717403621,7.611347717403621,80.0,0.6931471805599453,9.662625450728237,5.8522024797744745,1.0986122886681098,3.871201010907891,1.6094379124341003,tvSeries,0.6931471805599453,True,0,3.4965075614664802,6.115892125483034,15746,['KR'],0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.394449154672439
Lightdance,9,7.59890045687141,,34.0,0.0,2.70805020110221,0.6931471805599453,0.0,0.0,0.0,video,0.0,False,0,0.6931471805599453,0.6931471805599453,14,['US'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.5553480614894135
"Kiss, Kiss Bang, Bang",8,7.59890045687141,,45.0,0.0,4.574710978503383,1.791759469228055,0.0,4.709530201312334,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.0,96,['US'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.828641396489095
Nanba MG5,8,7.612336837167746,,,0.0,4.2626798770413155,2.0794415416798357,0.0,4.248495242049359,0.0,tvMiniSeries,0.0,True,0,2.70805020110221,0.0,70,['JP'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.110873864173311
Estrela de Oito Pontas,8,7.599401333415815,,12.0,1.0986122886681098,2.5649493574615367,0.6931471805599453,0.0,1.0986122886681098,0.0,short,0.0,False,0,0.6931471805599453,0.0,12,['BR'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.5649493574615367
Ulot Puran,9,7.612336837167746,,,0.0,3.332204510175204,2.302585092994046,0.0,2.772588722239781,0.0,tvMiniSeries,0.0,True,0,0.6931471805599453,0.0,27,['IN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.110873864173311
JJBA Mangabridged: Phantom Blood 2 of 2,9,7.609862200913554,,44.0,0.0,3.5263605246161616,0.6931471805599453,0.0,1.791759469228055,0.0,tvMovie,0.0,False,0,0.6931471805599453,0.0,33,['US'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.8066624897703196
1979 AFC Championship Game,9,7.591357046698551,,,0.0,2.302585092994046,0.0,0.0,4.23410650459726,0.0,tvSpecial,0.0,False,0,0.6931471805599453,0.0,9,['US'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.110873864173311
Golubaya chashka,7,7.583756300707112,,60.0,0.0,3.2188758248682006,0.6931471805599453,0.0,3.6109179126442243,0.0,movie,0.0,False,0,1.3862943611198906,0.0,24,['SUHH'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.110873864173311
The Formula,3,7.608374474380783,,90.0,0.6931471805599453,6.637258031284457,1.9459101490553132,0.6931471805599453,4.955827057601261,0.6931471805599453,movie,0.0,False,0,1.791759469228055,1.6094379124341003,762,['US'],0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51085950651685
Kako ubiv svetec,7,7.60339933974067,,82.0,0.6931471805599453,5.777652323222656,0.6931471805599453,0.0,4.442651256490317,0.6931471805599453,movie,1.3862943611198906,False,0,1.9459101490553132,1.0986122886681098,322,"['FR', 'MK', 'SI']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.418840607796598
The Electric Can Opener Fluctuation,9,7.605890001053122,,21.0,0.0,8.427049641563272,2.4849066497880004,0.0,4.442651256490317,1.0986122886681098,tvEpisode,0.0,False,0,0.6931471805599453,1.791759469228055,4570,['US'],0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.091042453358316
Sashiyum Sakunthalayum,5,7.6128310304073565,,122.0,0.0,6.013715156042802,2.0794415416798357,1.3862943611198906,3.1780538303479458,0.0,movie,0.0,False,0,1.3862943611198906,0.0,408,['IN'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.812184355372417
Justice of the Siblings of the Shinobi Village,9,7.59337419312129,,,0.0,2.302585092994046,0.0,0.0,3.4339872044851463,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.0,9,['JP'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.713572066704308
Side Roads,7,7.6093665379542115,,17.0,0.0,2.3978952727983707,0.6931471805599453,0.0,1.9459101490553132,0.0,short,0.0,False,0,0.6931471805599453,0.0,10,['PL'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.8903717578961645
Boxeurs,5,7.550135342488429,,1.0,0.0,2.6390573296152584,0.6931471805599453,0.0,1.6094379124341003,0.0,short,0.0,False,0,0.6931471805599453,0.0,13,['FR'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6931471805599453
The New Batman Adventures,9,7.599901959208498,7.600902459542082,30.0,1.9459101490553132,9.89075686005731,6.579251212010101,0.0,6.0844994130751715,1.9459101490553132,tvSeries,2.3978952727983707,True,0,3.4657359027997265,3.7376696182833684,19758,['US'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.4339872044851463
Spring,8,7.58629630715272,,23.0,0.0,2.4849066497880004,4.543294782270004,0.0,2.4849066497880004,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.0,11,['GB'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1780538303479458
The Whole Truth,7,7.6093665379542115,,93.0,0.0,10.438371441395189,3.7376696182833684,2.833213344056216,5.3471075307174685,4.060443010546419,movie,0.6931471805599453,False,0,3.4965075614664802,5.049856007249537,34175,['US'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4.543294782270004
The Man from Thunder River,7,7.572502985020384,,57.0,0.0,3.4965075614664802,2.4849066497880004,0.0,3.58351893845611,0.6931471805599453,movie,0.0,False,0,1.3862943611198906,0.0,32,['US'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.060443010546419
Leichenfund im Jagen 14,6,7.585281078639126,,74.0,0.0,1.9459101490553132,0.0,0.0,3.784189633918261,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.0,6,['DDDE'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.31748811353631
